category	explanation	question	opt0	opt1	opt2	opt3	gold
OTHER	Every answer today is a made up two-word phrase, in which the first word has six letters. Its last three letters spell the second word that will complete the phrase.	What an Italian tourist city has when its canals are frozen	Norway way	Celtic tic	Boston ton	Venice ice	3
OTHER	Every answer today is a made up two-word phrase, in which the first word has six letters. Its last three letters spell the second word that will complete the phrase.	"""""My name is Lassie and I'm a German Shepherd,"""" for example"	Venice ice	collie lie	frugal gal	hidden den	1
OTHER	Every answer today is a made up two-word phrase, in which the first word has six letters. Its last three letters spell the second word that will complete the phrase.	Meat sold in Batman's hometown	collie lie	Celtic tic	Norway way	Gotham ham	3
OTHER	Every answer today is a made up two-word phrase, in which the first word has six letters. Its last three letters spell the second word that will complete the phrase.	Mafia chief in England's capitol	collie lie	Vulcan can	Celtic tic	London don	3
OTHER	Every answer today is a made up two-word phrase, in which the first word has six letters. Its last three letters spell the second word that will complete the phrase.	How things are done in Oslo	turban ban	closet set	Norway way	Gotham ham	2
SOUND	"Today's puzzle is called ""Break Loose."" Every answer is a familiar two-word phrase in which the first word has a long-A vowel sound (as in ""break""), and the second word has a long-U vowel sound (as in ""loose"")."	beverage from Welch’s	Grey Goose	grape juice	May June	game room	1
SOUND	"Today's puzzle is called ""Break Loose."" Every answer is a familiar two-word phrase in which the first word has a long-A vowel sound (as in ""break""), and the second word has a long-U vowel sound (as in ""loose"")."	education after kindergarten	Grey Goose	game room	grade school	space suit	2
SOUND	"Today's puzzle is called ""Break Loose."" Every answer is a familiar two-word phrase in which the first word has a long-A vowel sound (as in ""break""), and the second word has a long-U vowel sound (as in ""loose"")."	part of a building in which you might play ping pong or billiards	same tune	game room	grape juice	space suit	1
SOUND	"Today's puzzle is called ""Break Loose."" Every answer is a familiar two-word phrase in which the first word has a long-A vowel sound (as in ""break""), and the second word has a long-U vowel sound (as in ""loose"")."	what an astronaut wears	space suit	May June	same tune	grape juice	0
SOUND	"Today's puzzle is called ""Break Loose."" Every answer is a familiar two-word phrase in which the first word has a long-A vowel sound (as in ""break""), and the second word has a long-U vowel sound (as in ""loose"")."	durable top for a house	same tune	mail shoot	slate roof	grape juice	2
SOUND	"Today's puzzle is called ""Break Loose."" Every answer is a familiar two-word phrase in which the first word has a long-A vowel sound (as in ""break""), and the second word has a long-U vowel sound (as in ""loose"")."	vodka brand that shares its name with a dull colored fowl	plain truths	Grey Goose	slate roof	rain boots	1
SOUND	"Today's puzzle is called ""Break Loose."" Every answer is a familiar two-word phrase in which the first word has a long-A vowel sound (as in ""break""), and the second word has a long-U vowel sound (as in ""loose"")."	third bimonthly issue in a calendar year	Grey Goose	rain boots	May June	plain truths	2
SOUND	"Today's puzzle is called ""Break Loose."" Every answer is a familiar two-word phrase in which the first word has a long-A vowel sound (as in ""break""), and the second word has a long-U vowel sound (as in ""loose"")."	narrow slide often next to an elevator, in which postal letters are dropped	Hey Jude	mail shoot	game room	slate roof	1
SOUND	"Today's puzzle is called ""Break Loose."" Every answer is a familiar two-word phrase in which the first word has a long-A vowel sound (as in ""break""), and the second word has a long-U vowel sound (as in ""loose"")."	what people who agree are said to sing	rain boots	game room	mail shoot	same tune	3
SOUND	"Today's puzzle is called ""Break Loose."" Every answer is a familiar two-word phrase in which the first word has a long-A vowel sound (as in ""break""), and the second word has a long-U vowel sound (as in ""loose"")."	footwear for wet weather	grape juice	mail shoot	rain boots	May June	2
SOUND	"Today's puzzle is called ""Break Loose."" Every answer is a familiar two-word phrase in which the first word has a long-A vowel sound (as in ""break""), and the second word has a long-U vowel sound (as in ""loose"")."	unvarnished facts	May June	slate roof	game room	plain truths	3
SOUND	"Today's puzzle is called ""Break Loose."" Every answer is a familiar two-word phrase in which the first word has a long-A vowel sound (as in ""break""), and the second word has a long-U vowel sound (as in ""loose"")."	number one Beatles song with the lyric “Don’t make it bad / Take a sad song and make it better”	Hey Jude	rain boots	space suit	mail shoot	0
S.O; WORDPLAY	I'm going to give you two words. Move one letter from one of them and insert it in the other — without changing the order of any of the letters — to get two synonyms.	fiend, rally	dry, arid	trip, stumble	annul, repeal	friend, ally	3
S.O; WORDPLAY	I'm going to give you two words. Move one letter from one of them and insert it in the other — without changing the order of any of the letters — to get two synonyms.	annual, repel	trip, stumble	through, done	annul, repeal	friend, ally	2
S.O; WORDPLAY	I'm going to give you two words. Move one letter from one of them and insert it in the other — without changing the order of any of the letters — to get two synonyms.	strip, tumble	through, done	annul, repeal	trip, stumble	dry, arid	2
S.O; WORDPLAY	I'm going to give you two words. Move one letter from one of them and insert it in the other — without changing the order of any of the letters — to get two synonyms.	dray, rid	careful, wary	dry, arid	through, done	trip, stumble	1
S.O; WORDPLAY	I'm going to give you two words. Move one letter from one of them and insert it in the other — without changing the order of any of the letters — to get two synonyms.	carful, weary	trip, stumble	careful, wary	through, done	friend, ally	1
S.O; WORDPLAY	I'm going to give you two words. Move one letter from one of them and insert it in the other — without changing the order of any of the letters — to get two synonyms.	though, drone	through, done	dry, arid	friend, ally	careful, wary	0
I.E	Every answer this week is a familiar two-word phrase or name, in which the first word starts with the letters C and A in that order, and the second word starts with P.	a group of commuters in a single auto	car poolers	cat’s pajamas	Canterbury Pilgrims	cabinet post or cabinet position	0
I.E	Every answer this week is a familiar two-word phrase or name, in which the first word starts with the letters C and A in that order, and the second word starts with P.	a bird used to transmit messenges	carrier pigeon	canned peas or canned peaches	care package	cabinet post or cabinet position	0
I.E	Every answer this week is a familiar two-word phrase or name, in which the first word starts with the letters C and A in that order, and the second word starts with P.	product of Del Monte or Green Giant	card party	canned peas or canned peaches	campus police	care package	1
I.E	Every answer this week is a familiar two-word phrase or name, in which the first word starts with the letters C and A in that order, and the second word starts with P.	1920’s slang for something really cool	cash prize	cat’s pajamas	Canterbury Pilgrims	car poolers	1
I.E	Every answer this week is a familiar two-word phrase or name, in which the first word starts with the letters C and A in that order, and the second word starts with P.	university in San Luis Obispo	Canterbury Pilgrims	card party	Cal Poly	care package	2
I.E	Every answer this week is a familiar two-word phrase or name, in which the first word starts with the letters C and A in that order, and the second word starts with P.	baking utensil	cake pan	campus police	Cal Poly	cat’s pajamas	0
I.E	Every answer this week is a familiar two-word phrase or name, in which the first word starts with the letters C and A in that order, and the second word starts with P.	something sent overseas to help those in need	cat’s pajamas	care package	Cal Poly	Canterbury Pilgrims	1
I.E	Every answer this week is a familiar two-word phrase or name, in which the first word starts with the letters C and A in that order, and the second word starts with P.	a social occassion to play bridge or canasta	cash prize	card party	cabinet post or cabinet position	Canterbury Pilgrims	1
I.E	Every answer this week is a familiar two-word phrase or name, in which the first word starts with the letters C and A in that order, and the second word starts with P.	group of travelers written about by Chaucer	Canterbury Pilgrims	cat’s pajamas	car poolers	cake pan	0
I.E	Every answer this week is a familiar two-word phrase or name, in which the first word starts with the letters C and A in that order, and the second word starts with P.	security for a university	carrier pigeon	cake pan	card party	campus police	3
I.E	Every answer this week is a familiar two-word phrase or name, in which the first word starts with the letters C and A in that order, and the second word starts with P.	Secretary of Education, or Attorney General	card party	carrier pigeon	campus police	cabinet post or cabinet position	3
I.E	Every answer this week is a familiar two-word phrase or name, in which the first word starts with the letters C and A in that order, and the second word starts with P.	most straightforward and desireable contest awards	cat’s pajamas	Cal Poly	cash prize	canned peas or canned peaches	2
I.E; SOUND	"Because tomorrow is June 1st, today's game is one of categories, based on the word """"first."""" For each category, name something in it starting with each of the letters F-I-R-S-T. For example, if the category were """"Two-Syllable Boys' Names,"""" you might say Francis, Isaac, Richard, Simon and Tony."	state capitals, F	index	Raleigh, Richmond	Frankfort (KY); not Fargo	Indianapolis	2
I.E; SOUND	"Because tomorrow is June 1st, today's game is one of categories, based on the word """"first."""" For each category, name something in it starting with each of the letters F-I-R-S-T. For example, if the category were """"Two-Syllable Boys' Names,"""" you might say Francis, Isaac, Richard, Simon and Tony."	state capitals, I	Frankfort (KY); not Fargo	Toyota	Indianapolis	Saab	2
I.E; SOUND	"Because tomorrow is June 1st, today's game is one of categories, based on the word """"first."""" For each category, name something in it starting with each of the letters F-I-R-S-T. For example, if the category were """"Two-Syllable Boys' Names,"""" you might say Francis, Isaac, Richard, Simon and Tony."	state capitals, R	Salem	Saab	Raleigh, Richmond	index	2
I.E; SOUND	"Because tomorrow is June 1st, today's game is one of categories, based on the word """"first."""" For each category, name something in it starting with each of the letters F-I-R-S-T. For example, if the category were """"Two-Syllable Boys' Names,"""" you might say Francis, Isaac, Richard, Simon and Tony."	state capitals, S	radio	Salem	index	inner tube, icebox	1
I.E; SOUND	"Because tomorrow is June 1st, today's game is one of categories, based on the word """"first."""" For each category, name something in it starting with each of the letters F-I-R-S-T. For example, if the category were """"Two-Syllable Boys' Names,"""" you might say Francis, Isaac, Richard, Simon and Tony."	state capitals, T	Isuzu	slip cover, spine	Topeka	Raleigh, Richmond	2
I.E; SOUND	"Because tomorrow is June 1st, today's game is one of categories, based on the word """"first."""" For each category, name something in it starting with each of the letters F-I-R-S-T. For example, if the category were """"Two-Syllable Boys' Names,"""" you might say Francis, Isaac, Richard, Simon and Tony."	foreign makes of car, F	inner tube, icebox	Fiat	Isuzu	Toyota	1
I.E; SOUND	"Because tomorrow is June 1st, today's game is one of categories, based on the word """"first."""" For each category, name something in it starting with each of the letters F-I-R-S-T. For example, if the category were """"Two-Syllable Boys' Names,"""" you might say Francis, Isaac, Richard, Simon and Tony."	foreign makes of car, I	Salem	slip cover, spine	Isuzu	Toyota	2
I.E; SOUND	"Because tomorrow is June 1st, today's game is one of categories, based on the word """"first."""" For each category, name something in it starting with each of the letters F-I-R-S-T. For example, if the category were """"Two-Syllable Boys' Names,"""" you might say Francis, Isaac, Richard, Simon and Tony."	foreign makes of car, R	Rolls Royce, Range Rover, Renault	frontispiece	Isuzu	index	0
I.E; SOUND	"Because tomorrow is June 1st, today's game is one of categories, based on the word """"first."""" For each category, name something in it starting with each of the letters F-I-R-S-T. For example, if the category were """"Two-Syllable Boys' Names,"""" you might say Francis, Isaac, Richard, Simon and Tony."	foreign makes of car, S	Saab	slip cover, spine	frontispiece	Salem	0
I.E; SOUND	"Because tomorrow is June 1st, today's game is one of categories, based on the word """"first."""" For each category, name something in it starting with each of the letters F-I-R-S-T. For example, if the category were """"Two-Syllable Boys' Names,"""" you might say Francis, Isaac, Richard, Simon and Tony."	foreign makes of car, T	frontispiece	Frankfort (KY); not Fargo	Raleigh, Richmond	Toyota	3
I.E; SOUND	"Because tomorrow is June 1st, today's game is one of categories, based on the word """"first."""" For each category, name something in it starting with each of the letters F-I-R-S-T. For example, if the category were """"Two-Syllable Boys' Names,"""" you might say Francis, Isaac, Richard, Simon and Tony."	parts of a book, F	Frankfort (KY); not Fargo	frontispiece	Rolls Royce, Range Rover, Renault	Saab	1
I.E; SOUND	"Because tomorrow is June 1st, today's game is one of categories, based on the word """"first."""" For each category, name something in it starting with each of the letters F-I-R-S-T. For example, if the category were """"Two-Syllable Boys' Names,"""" you might say Francis, Isaac, Richard, Simon and Tony."	parts of a book, I	slip cover, spine	recto, right-hand page	Indianapolis	index	3
I.E; SOUND	"Because tomorrow is June 1st, today's game is one of categories, based on the word """"first."""" For each category, name something in it starting with each of the letters F-I-R-S-T. For example, if the category were """"Two-Syllable Boys' Names,"""" you might say Francis, Isaac, Richard, Simon and Tony."	parts of a book, R	Toyota	recto, right-hand page	inner tube, icebox	Fiat	1
I.E; SOUND	"Because tomorrow is June 1st, today's game is one of categories, based on the word """"first."""" For each category, name something in it starting with each of the letters F-I-R-S-T. For example, if the category were """"Two-Syllable Boys' Names,"""" you might say Francis, Isaac, Richard, Simon and Tony."	parts of a book, S	slip cover, spine	Toyota	Indianapolis	Frankfort (KY); not Fargo	0
I.E; SOUND	"Because tomorrow is June 1st, today's game is one of categories, based on the word """"first."""" For each category, name something in it starting with each of the letters F-I-R-S-T. For example, if the category were """"Two-Syllable Boys' Names,"""" you might say Francis, Isaac, Richard, Simon and Tony."	parts of a book, T	inner tube, icebox	Toyota	table of contents	radio	2
I.E; SOUND	"Because tomorrow is June 1st, today's game is one of categories, based on the word """"first."""" For each category, name something in it starting with each of the letters F-I-R-S-T. For example, if the category were """"Two-Syllable Boys' Names,"""" you might say Francis, Isaac, Richard, Simon and Tony."	things to take to the beach, F	Fiat	Saab	flip-flops	sun screen	2
I.E; SOUND	"Because tomorrow is June 1st, today's game is one of categories, based on the word """"first."""" For each category, name something in it starting with each of the letters F-I-R-S-T. For example, if the category were """"Two-Syllable Boys' Names,"""" you might say Francis, Isaac, Richard, Simon and Tony."	things to take to the beach, I	inner tube, icebox	Indianapolis	Rolls Royce, Range Rover, Renault	recto, right-hand page	0
I.E; SOUND	"Because tomorrow is June 1st, today's game is one of categories, based on the word """"first."""" For each category, name something in it starting with each of the letters F-I-R-S-T. For example, if the category were """"Two-Syllable Boys' Names,"""" you might say Francis, Isaac, Richard, Simon and Tony."	things to take to the beach, R	radio	index	sun screen	flip-flops	0
I.E; SOUND	"Because tomorrow is June 1st, today's game is one of categories, based on the word """"first."""" For each category, name something in it starting with each of the letters F-I-R-S-T. For example, if the category were """"Two-Syllable Boys' Names,"""" you might say Francis, Isaac, Richard, Simon and Tony."	things to take to the beach, S	sun screen	Saab	Rolls Royce, Range Rover, Renault	Isuzu	0
I.E; SOUND	"Because tomorrow is June 1st, today's game is one of categories, based on the word """"first."""" For each category, name something in it starting with each of the letters F-I-R-S-T. For example, if the category were """"Two-Syllable Boys' Names,"""" you might say Francis, Isaac, Richard, Simon and Tony."	things to take to the beach, T	Toyota	towel	Rolls Royce, Range Rover, Renault	Fiat	1
I.E	"This puzzle is called """"BBC,"""" as in the British media giant. You get two words starting with B. Come up with a word starting with C that can complete each of the first two words to complete a compound word or a familiar two-word phrase.  Ex. Bob Burmese ---> CAT [bobcat, Burmese cat]"	baseball, bottle (3-letter answers)	cable	court	cap	code	2
I.E	"This puzzle is called """"BBC,"""" as in the British media giant. You get two words starting with B. Come up with a word starting with C that can complete each of the first two words to complete a compound word or a familiar two-word phrase.  Ex. Bob Burmese ---> CAT [bobcat, Burmese cat]"	buzz, budget	cable	counter	code	cut	3
I.E	"This puzzle is called """"BBC,"""" as in the British media giant. You get two words starting with B. Come up with a word starting with C that can complete each of the first two words to complete a compound word or a familiar two-word phrase.  Ex. Bob Burmese ---> CAT [bobcat, Burmese cat]"	bar, building (4-letter answer)	cut	cable	cap	code	3
I.E	"This puzzle is called """"BBC,"""" as in the British media giant. You get two words starting with B. Come up with a word starting with C that can complete each of the first two words to complete a compound word or a familiar two-word phrase.  Ex. Bob Burmese ---> CAT [bobcat, Burmese cat]"	booster, basic (5-letter answers now)	cable	camera	cut	cap	0
I.E	"This puzzle is called """"BBC,"""" as in the British media giant. You get two words starting with B. Come up with a word starting with C that can complete each of the first two words to complete a compound word or a familiar two-word phrase.  Ex. Bob Burmese ---> CAT [bobcat, Burmese cat]"	basketball, bankruptcy	counter	camera	court	cap	2
I.E	"This puzzle is called """"BBC,"""" as in the British media giant. You get two words starting with B. Come up with a word starting with C that can complete each of the first two words to complete a compound word or a familiar two-word phrase.  Ex. Bob Burmese ---> CAT [bobcat, Burmese cat]"	body, brownie (6-letter answer)	cut	code	camera	cap	2
I.E	"This puzzle is called """"BBC,"""" as in the British media giant. You get two words starting with B. Come up with a word starting with C that can complete each of the first two words to complete a compound word or a familiar two-word phrase.  Ex. Bob Burmese ---> CAT [bobcat, Burmese cat]"	bean, bargain (7-letter answer)	court	counter	cable	cap	1
WORDPLAY	I'm going to give you some words. For each word, move one letter to a different position to spell another word.	HURLED	earnest	hurdle	parsley	shooter	1
WORDPLAY	I'm going to give you some words. For each word, move one letter to a different position to spell another word.	GALLERY	starlet	parsed	allergy	retina	2
WORDPLAY	I'm going to give you some words. For each word, move one letter to a different position to spell another word.	INFIELD	immersed	earnest	allergy	infidel	3
WORDPLAY	I'm going to give you some words. For each word, move one letter to a different position to spell another word.	SOOTHER	starlet	retina	earnest	shooter	3
WORDPLAY	I'm going to give you some words. For each word, move one letter to a different position to spell another word.	STARTLE	parsed	starlet	horse shoer	meander	1
WORDPLAY	I'm going to give you some words. For each word, move one letter to a different position to spell another word.	AMENDER	optical	meander	parsed	infidel	1
WORDPLAY	I'm going to give you some words. For each word, move one letter to a different position to spell another word.	WITHER	parsley	shooter	writhe (Danny’s answer), whiter (Will’s intended answer)	optical	2
WORDPLAY	I'm going to give you some words. For each word, move one letter to a different position to spell another word.	SPARED	writhe (Danny’s answer), whiter (Will’s intended answer)	earnest	parsed	parsley	2
WORDPLAY	I'm going to give you some words. For each word, move one letter to a different position to spell another word.	TOPICAL	parsley	optical	earnest	infidel	1
WORDPLAY	I'm going to give you some words. For each word, move one letter to a different position to spell another word.	PARLEYS	hurdle	writhe (Danny’s answer), whiter (Will’s intended answer)	parsley	starlet	2
WORDPLAY	I'm going to give you some words. For each word, move one letter to a different position to spell another word.	RETAIN	immersed	retina	starlet	infidel	1
WORDPLAY	I'm going to give you some words. For each word, move one letter to a different position to spell another word.	NEAREST	meander	hurdle	writhe (Danny’s answer), whiter (Will’s intended answer)	earnest	3
WORDPLAY	I'm going to give you some words. For each word, move one letter to a different position to spell another word.	SIMMERED	meander	immersed	retina	optical	1
WORDPLAY	I'm going to give you some words. For each word, move one letter to a different position to spell another word.	SHORE	optical	immersed	horse shoer	retina	2
ANAGRAM	Today's puzzle is based on the names of famous writers of mysteries, crime fiction and spy novels. Their last names have been anagrammed. You name the writers.	ITCHIER + S (Agatha)	Christie	Westlake	Gardner	James	0
ANAGRAM	Today's puzzle is based on the names of famous writers of mysteries, crime fiction and spy novels. Their last names have been anagrammed. You name the writers.	RANCHED + L (Raymond)	Larsson	Chandler	Fleming	Ambler	1
ANAGRAM	Today's puzzle is based on the names of famous writers of mysteries, crime fiction and spy novels. Their last names have been anagrammed. You name the writers.	ESSAY + R (Dorothy)	Leonard	Sayers	Conan Doyle	Larsson	1
ANAGRAM	Today's puzzle is based on the names of famous writers of mysteries, crime fiction and spy novels. Their last names have been anagrammed. You name the writers.	WEAKEST + L (Donald)	Westlake	Leonard	Conan Doyle	Spillane	0
ANAGRAM	Today's puzzle is based on the names of famous writers of mysteries, crime fiction and spy novels. Their last names have been anagrammed. You name the writers.	LENDER + L (Ruth)	Spillane	Rendell	Conan Doyle	Gardner	1
ANAGRAM	Today's puzzle is based on the names of famous writers of mysteries, crime fiction and spy novels. Their last names have been anagrammed. You name the writers.	ORDEAL + N (Elmore)	Gardner	Conan Doyle	Fleming	Leonard	3
ANAGRAM	Today's puzzle is based on the names of famous writers of mysteries, crime fiction and spy novels. Their last names have been anagrammed. You name the writers.	CAREER + L (John; 2 word last name)	Fleming	Westlake	Sayers	La Carre	3
ANAGRAM	Today's puzzle is based on the names of famous writers of mysteries, crime fiction and spy novels. Their last names have been anagrammed. You name the writers.	SALONS + R (Stieg)	Larsson	Hammett	Leonard	Rendell	0
ANAGRAM	Today's puzzle is based on the names of famous writers of mysteries, crime fiction and spy novels. Their last names have been anagrammed. You name the writers.	SPANIEL + L (Mickey)	Ambler	Chandler	Leonard	Spillane	3
ANAGRAM	Today's puzzle is based on the names of famous writers of mysteries, crime fiction and spy novels. Their last names have been anagrammed. You name the writers.	MINGLE + F (Ian)	Fleming	Rendell	Conan Doyle	Sayers	0
ANAGRAM	Today's puzzle is based on the names of famous writers of mysteries, crime fiction and spy novels. Their last names have been anagrammed. You name the writers.	RANGED + R (Erle Stanley)	Leonard	Rendell	Hammett	Gardner	3
ANAGRAM	Today's puzzle is based on the names of famous writers of mysteries, crime fiction and spy novels. Their last names have been anagrammed. You name the writers.	BLAME + R (Eric)	Chandler	Gardner	Leonard	Ambler	3
ANAGRAM	Today's puzzle is based on the names of famous writers of mysteries, crime fiction and spy novels. Their last names have been anagrammed. You name the writers.	MESA + J (P.D.)	James	Conan Doyle	Sayers	Fleming	0
ANAGRAM	Today's puzzle is based on the names of famous writers of mysteries, crime fiction and spy novels. Their last names have been anagrammed. You name the writers.	THE MAT + M (Dashiell)	Christie	Hammett	Leonard	Spillane	1
ANAGRAM	Today's puzzle is based on the names of famous writers of mysteries, crime fiction and spy novels. Their last names have been anagrammed. You name the writers.	COLONNADE + Y (Arthur; 2 word last name)	Fleming	Conan Doyle	James	Chandler	1
ANAGRAM; CONTAIN; WORDPLAY	"This is a followup puzzle to last week's """"Lost ID's."""" It's called """"Replacement ID's."""" I'm going to give you some words. Each word contains the consecutive letters I-D somewhere in it. Change the I-D to two new letters to get a new familiar word.Example:  Stride  -->  Stroke or Strafe1.  Fidget2.  Ideate3.  Bridal4.  Rancid5.  Fiddle6.  Afraid (hyph.)7.  Collide8.  Provide9.  Humidity10.  Consider11.  Diffident12.  President Last week's challenge: This challenge came from listener Chad Graham, of St. Louis. Name a well-known restaurant chain. Rearrange its letters to name a large area in the United States. This area has a two-word name. What is it?"	Fidget	create or oleate	consoler or consumer	provoke	forget	3
ANAGRAM; CONTAIN; WORDPLAY	"This is a followup puzzle to last week's """"Lost ID's."""" It's called """"Replacement ID's."""" I'm going to give you some words. Each word contains the consecutive letters I-D somewhere in it. Change the I-D to two new letters to get a new familiar word.Example:  Stride  -->  Stroke or Strafe1.  Fidget2.  Ideate3.  Bridal4.  Rancid5.  Fiddle6.  Afraid (hyph.)7.  Collide8.  Provide9.  Humidity10.  Consider11.  Diffident12.  President Last week's challenge: This challenge came from listener Chad Graham, of St. Louis. Name a well-known restaurant chain. Rearrange its letters to name a large area in the United States. This area has a two-word name. What is it?"	Ideate	A-frame	provoke	collage, collate, college or collude	create or oleate	3
ANAGRAM; CONTAIN; WORDPLAY	"This is a followup puzzle to last week's """"Lost ID's."""" It's called """"Replacement ID's."""" I'm going to give you some words. Each word contains the consecutive letters I-D somewhere in it. Change the I-D to two new letters to get a new familiar word.Example:  Stride  -->  Stroke or Strafe1.  Fidget2.  Ideate3.  Bridal4.  Rancid5.  Fiddle6.  Afraid (hyph.)7.  Collide8.  Provide9.  Humidity10.  Consider11.  Diffident12.  President Last week's challenge: This challenge came from listener Chad Graham, of St. Louis. Name a well-known restaurant chain. Rearrange its letters to name a large area in the United States. This area has a two-word name. What is it?"	Bridal	bromal, brumal or brutal	prescient	provoke	consoler or consumer	0
ANAGRAM; CONTAIN; WORDPLAY	"This is a followup puzzle to last week's """"Lost ID's."""" It's called """"Replacement ID's."""" I'm going to give you some words. Each word contains the consecutive letters I-D somewhere in it. Change the I-D to two new letters to get a new familiar word.Example:  Stride  -->  Stroke or Strafe1.  Fidget2.  Ideate3.  Bridal4.  Rancid5.  Fiddle6.  Afraid (hyph.)7.  Collide8.  Provide9.  Humidity10.  Consider11.  Diffident12.  President Last week's challenge: This challenge came from listener Chad Graham, of St. Louis. Name a well-known restaurant chain. Rearrange its letters to name a large area in the United States. This area has a two-word name. What is it?"	Rancid	create or oleate	A-frame	consoler or consumer	rancho or rancor	3
ANAGRAM; CONTAIN; WORDPLAY	"This is a followup puzzle to last week's """"Lost ID's."""" It's called """"Replacement ID's."""" I'm going to give you some words. Each word contains the consecutive letters I-D somewhere in it. Change the I-D to two new letters to get a new familiar word.Example:  Stride  -->  Stroke or Strafe1.  Fidget2.  Ideate3.  Bridal4.  Rancid5.  Fiddle6.  Afraid (hyph.)7.  Collide8.  Provide9.  Humidity10.  Consider11.  Diffident12.  President Last week's challenge: This challenge came from listener Chad Graham, of St. Louis. Name a well-known restaurant chain. Rearrange its letters to name a large area in the United States. This area has a two-word name. What is it?"	Fiddle	different or diffluent	forget	consoler or consumer	fondle or fuddle	3
ANAGRAM; CONTAIN; WORDPLAY	"This is a followup puzzle to last week's """"Lost ID's."""" It's called """"Replacement ID's."""" I'm going to give you some words. Each word contains the consecutive letters I-D somewhere in it. Change the I-D to two new letters to get a new familiar word.Example:  Stride  -->  Stroke or Strafe1.  Fidget2.  Ideate3.  Bridal4.  Rancid5.  Fiddle6.  Afraid (hyph.)7.  Collide8.  Provide9.  Humidity10.  Consider11.  Diffident12.  President Last week's challenge: This challenge came from listener Chad Graham, of St. Louis. Name a well-known restaurant chain. Rearrange its letters to name a large area in the United States. This area has a two-word name. What is it?"	Afraid (hyph.)	rancho or rancor	humanity	A-frame	fondle or fuddle	2
ANAGRAM; CONTAIN; WORDPLAY	"This is a followup puzzle to last week's """"Lost ID's."""" It's called """"Replacement ID's."""" I'm going to give you some words. Each word contains the consecutive letters I-D somewhere in it. Change the I-D to two new letters to get a new familiar word.Example:  Stride  -->  Stroke or Strafe1.  Fidget2.  Ideate3.  Bridal4.  Rancid5.  Fiddle6.  Afraid (hyph.)7.  Collide8.  Provide9.  Humidity10.  Consider11.  Diffident12.  President Last week's challenge: This challenge came from listener Chad Graham, of St. Louis. Name a well-known restaurant chain. Rearrange its letters to name a large area in the United States. This area has a two-word name. What is it?"	Provide	provoke	consoler or consumer	bromal, brumal or brutal	forget	0
ANAGRAM; CONTAIN; WORDPLAY	"This is a followup puzzle to last week's """"Lost ID's."""" It's called """"Replacement ID's."""" I'm going to give you some words. Each word contains the consecutive letters I-D somewhere in it. Change the I-D to two new letters to get a new familiar word.Example:  Stride  -->  Stroke or Strafe1.  Fidget2.  Ideate3.  Bridal4.  Rancid5.  Fiddle6.  Afraid (hyph.)7.  Collide8.  Provide9.  Humidity10.  Consider11.  Diffident12.  President Last week's challenge: This challenge came from listener Chad Graham, of St. Louis. Name a well-known restaurant chain. Rearrange its letters to name a large area in the United States. This area has a two-word name. What is it?"	Humidity	bromal, brumal or brutal	create or oleate	forget	humanity	3
ANAGRAM; CONTAIN; WORDPLAY	"This is a followup puzzle to last week's """"Lost ID's."""" It's called """"Replacement ID's."""" I'm going to give you some words. Each word contains the consecutive letters I-D somewhere in it. Change the I-D to two new letters to get a new familiar word.Example:  Stride  -->  Stroke or Strafe1.  Fidget2.  Ideate3.  Bridal4.  Rancid5.  Fiddle6.  Afraid (hyph.)7.  Collide8.  Provide9.  Humidity10.  Consider11.  Diffident12.  President Last week's challenge: This challenge came from listener Chad Graham, of St. Louis. Name a well-known restaurant chain. Rearrange its letters to name a large area in the United States. This area has a two-word name. What is it?"	Consider	consoler or consumer	humanity	provoke	A-frame	0
ANAGRAM; CONTAIN; WORDPLAY	"This is a followup puzzle to last week's """"Lost ID's."""" It's called """"Replacement ID's."""" I'm going to give you some words. Each word contains the consecutive letters I-D somewhere in it. Change the I-D to two new letters to get a new familiar word.Example:  Stride  -->  Stroke or Strafe1.  Fidget2.  Ideate3.  Bridal4.  Rancid5.  Fiddle6.  Afraid (hyph.)7.  Collide8.  Provide9.  Humidity10.  Consider11.  Diffident12.  President Last week's challenge: This challenge came from listener Chad Graham, of St. Louis. Name a well-known restaurant chain. Rearrange its letters to name a large area in the United States. This area has a two-word name. What is it?"	Diffident	different or diffluent	bromal, brumal or brutal	create or oleate	fondle or fuddle	0
ANAGRAM; CONTAIN; WORDPLAY	"This is a followup puzzle to last week's """"Lost ID's."""" It's called """"Replacement ID's."""" I'm going to give you some words. Each word contains the consecutive letters I-D somewhere in it. Change the I-D to two new letters to get a new familiar word.Example:  Stride  -->  Stroke or Strafe1.  Fidget2.  Ideate3.  Bridal4.  Rancid5.  Fiddle6.  Afraid (hyph.)7.  Collide8.  Provide9.  Humidity10.  Consider11.  Diffident12.  President Last week's challenge: This challenge came from listener Chad Graham, of St. Louis. Name a well-known restaurant chain. Rearrange its letters to name a large area in the United States. This area has a two-word name. What is it?"	President	prescient	fondle or fuddle	provoke	forget	0
ANAGRAM; S.O	Every answer this week is an anagram of a six-letter girl's name. I'll give you the name and a synonym of its anagram. You tell me the anagram.	Teresa, a spring holiday	Easter	A minor	mirage	Hamlet	0
ANAGRAM; S.O	Every answer this week is an anagram of a six-letter girl's name. I'll give you the name and a synonym of its anagram. You tell me the anagram.	Thelma, a Shakespeare play	unreal	A minor	Easter	Hamlet	3
